gene	start	stop	frame	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
SKTGIJFO_CDS_0023	8290	8093	-	LN610572.1	-3.076488	6997	139.0	0.996	4.3539999999999997e-41	6997	162.739456	2.9949910756683123e-48	No_custom_HMM	No_custom_HMM	No_custom_HMM	6997	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0024	9990	8302	-	LN610572.1	-78487490000.0	448	529.0	0.508	8.16e-168	448	642.053894	1.371550086209294e-192	No_custom_HMM	No_custom_HMM	No_custom_HMM	448	ab initio prediction:PHANOTATE:1.6.7	CDS	#838383	nicotinamide phosphoribosyl transferase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0025	10265	10047	-	LN610572.1	-5.035507	7663	152.0	0.998	1.797e-45	7663	174.565323	6.499422508387759e-52	No_custom_HMM	No_custom_HMM	No_custom_HMM	7663	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0026	11128	10262	-	LN610572.1	-355564.0	619	225.0	0.432	2.759e-66	619	321.994904	5.570378441358056e-96	No_custom_HMM	No_custom_HMM	No_custom_HMM	619	ab initio prediction:PHANOTATE:1.6.7	CDS	#838383	ribose-phosphate pyrophosphokinase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0027	11554	11138	-	LN610572.1	-1769.673	2071	144.0	0.548	1.9139999999999998e-41	2071	180.870483	9.015617877317726e-53	No_custom_HMM	No_custom_HMM	No_custom_HMM	2071	ab initio prediction:PHANOTATE:1.6.7	CDS	#838383	ATPase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0028	12482	11565	-	LN610572.1	-6433041.0	562	158.0	0.331	3.8410000000000005e-42	562	223.385239	8.477068724726444e-66	No_custom_HMM	No_custom_HMM	No_custom_HMM	562	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	RNA ligase and tail fiber protein attachment catalyst	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0029	12901	12494	-	LN610572.1	-44.17443	944	74.0	0.318	9.007e-17	944	119.291748	4.137318180623814e-34	No_custom_HMM	No_custom_HMM	No_custom_HMM	944	ab initio prediction:PHANOTATE:1.6.7	CDS	#ff59f5	membrane protein	moron, auxiliary metabolic gene and host takeover	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0030	13173	12898	-	LN610572.1	-568.5014	2339	82.0	0.546	1.5330000000000003e-20	2339	112.43924	1.5601793274603776e-32	No_custom_HMM	No_custom_HMM	No_custom_HMM	2339	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	HTH DNA binding protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0031	13411	13175	-	LN610572.1	-235.5729	5447	118.0	0.758	1.341e-33	5447	139.819244	4.35856839353615e-41	No_custom_HMM	No_custom_HMM	No_custom_HMM	5447	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0032	13978	13424	-	LN610572.1	-13783.43	547	172.0	0.5	5.658e-50	547	209.556808	7.745801815639898e-62	No_custom_HMM	No_custom_HMM	No_custom_HMM	547	ab initio prediction:PHANOTATE:1.6.7	CDS	#838383	phosphoesterase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0033	14409	13978	-	LN610572.1	-482.8683	6781	297.0	0.985	1.7989999999999999e-94	6781	323.921326	1.946783362742645e-97	No_custom_HMM	No_custom_HMM	No_custom_HMM	6781	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0034	14959	14399	-	LN610572.1	-8840.333	990	109.0	0.375	1.382e-28	990	205.587341	2.701278333592498e-60	No_custom_HMM	No_custom_HMM	No_custom_HMM	990	ab initio prediction:PHANOTATE:1.6.7	CDS	#838383	metal-dependent phosphohydrolase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0035	15521	14961	-	LN610572.1	-12465.53	938	130.0	0.513	1.515e-36	938	92.174767	2.446209973993869e-26	No_custom_HMM	No_custom_HMM	No_custom_HMM	938	ab initio prediction:PHANOTATE:1.6.7	CDS	#f35f49	endolysin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0036	16047	15586	-	LN610572.1	-2961.458	2686	118.0	0.43	1.0110000000000001e-31	2686	180.856308	2.7867313734204227e-53	No_custom_HMM	No_custom_HMM	No_custom_HMM	2686	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0037	17268	16060	-	LN610572.1	-634847500.0	114	303.0	0.447	6.125e-92	114	271.385223	3.355468080176791e-80	No_custom_HMM	No_custom_HMM	No_custom_HMM	114	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	ATP-dependent DNA ligase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0038	17654	17265	-	LN610572.1	-251.0065	174	95.0	0.436	1.695e-23	174	169.20842	4.043822278029553e-49	No_custom_HMM	No_custom_HMM	No_custom_HMM	174	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	dCMP deaminase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0039	17920	17684	-	LN610572.1	-86.50463	7094	158.0	0.994	2.4859999999999996e-47	7094	186.944199	1.1178273382818242e-55	No_custom_HMM	No_custom_HMM	No_custom_HMM	7094	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0040	18142	17930	-	LN610572.1	-17.36408	2251	64.0	0.484	5.896e-15	2251	89.965088	1.8462876923939231e-25	No_custom_HMM	No_custom_HMM	No_custom_HMM	2251	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0041	18408	18139	-	LN610572.1	-328.0215	5276	164.0	0.874	3.153e-49	5276	181.854538	3.7695712213539645e-54	No_custom_HMM	No_custom_HMM	No_custom_HMM	5276	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0042	18734	18417	-	LN610572.1	-148.1688	3948	172.0	0.795	1.1709999999999999e-51	3948	175.776047	3.1599545768727676e-52	No_custom_HMM	No_custom_HMM	No_custom_HMM	3948	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0043	19026	18748	-	LN610572.1	-336.6035	6991	190.0	0.967	4.305e-58	6991	201.442764	3.679945298759844e-60	No_custom_HMM	No_custom_HMM	No_custom_HMM	6991	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0044	19301	19023	-	LN610572.1	-432.904	7048	196.0	0.998	2.282e-59	7048	215.710114	8.865805560446255e-65	No_custom_HMM	No_custom_HMM	No_custom_HMM	7048	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0045	19521	19336	-	LN610572.1	-8.35033	7505	134.0	1.0	2.181e-39	7505	163.103928	2.4045295854179403e-48	No_custom_HMM	No_custom_HMM	No_custom_HMM	7505	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0046	19815	19522	-	LN610572.1	-188.9838	343	69.0	0.397	2.993e-16	343	95.305534	5.185924245149629e-27	No_custom_HMM	No_custom_HMM	No_custom_HMM	343	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0047	19997	19812	-	LN610572.1	-205.5294	6961	128.0	0.975	3.469e-37	6961	156.3591	2.528767328284046e-46	No_custom_HMM	No_custom_HMM	No_custom_HMM	6961	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0048	20606	20058	-	LN610572.1	-6001.837	1827	175.0	0.501	4.761e-51	1827	234.718735	1.1958240144844973e-69	No_custom_HMM	No_custom_HMM	No_custom_HMM	1827	ab initio prediction:PHANOTATE:1.6.7	CDS	#838383	ATP-dependent protease	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0049	21010	20654	-	LN610572.1	-501.9415	5067	166.0	0.692	2.612e-49	5067	198.001328	8.355475269622827e-59	No_custom_HMM	No_custom_HMM	No_custom_HMM	5067	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0050	21474	21007	-	LN610572.1	-2574.372	5019	161.0	0.597	4.1569999999999996e-47	5019	220.922424	1.5868442329771489e-65	No_custom_HMM	No_custom_HMM	No_custom_HMM	5019	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0051	21625	21503	-	LN610572.1	-0.7600507	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0052	21799	21686	-	LN610572.1	-0.3191616	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0053	21996	21844	-	LN610572.1	-2.928529	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0054	22171	22025	-	LN610572.1	-1.770261	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0055	22278	22601	+	LN610572.1	-61.3907	3900	126.0	0.593	2.624e-35	3900	156.731354	4.1191003364908895e-46	No_custom_HMM	No_custom_HMM	No_custom_HMM	3900	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0056	23219	23100	-	LN610572.1	-0.1017626	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0057	23595	23491	-	LN610572.1	-3.72078	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0058	25044	24646	-	LN610572.1	-44.73674	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0059	25249	26769	+	LN610572.1	-136378900.0	979	313.0	0.392	2e-94	979	746.764343	4.732699336279894e-224	No_custom_HMM	No_custom_HMM	No_custom_HMM	979	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	terminase large subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0060	26782	28221	+	LN610572.1	-688003500.0	113	175.0	0.289	2.705e-47	113	366.305267	8.988820024678576e-109	No_custom_HMM	No_custom_HMM	No_custom_HMM	113	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	portal protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0061	28231	28701	+	LN610572.1	-703.3836	1530	114.0	0.455	5.479000000000001e-31	1530	162.287537	4.082125518626699e-47	No_custom_HMM	No_custom_HMM	No_custom_HMM	1530	ab initio prediction:PHANOTATE:1.6.7	CDS	#838383	DNA methyltransferase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0062	28698	29615	+	LN610572.1	-32077.69	4103	389.0	0.645	2.464e-123	4103	547.025452	3.1717365267958387e-164	No_custom_HMM	No_custom_HMM	No_custom_HMM	4103	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0063	29643	30053	+	LN610572.1	-236.7213	No_PHROG	No_PHROG	No_PHROG	No_PHROG	49	62.465321	8.261847823849708e-17	No_custom_HMM	No_custom_HMM	No_custom_HMM	49	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	head decoration	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0064	30097	31131	+	LN610572.1	-265888.4	29	111.0	0.256	5.82e-27	29	261.236389	3.964015895791943e-77	No_custom_HMM	No_custom_HMM	No_custom_HMM	29	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	major head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0065	31181	31657	+	LN610572.1	-7686.083	1732	111.0	0.433	6.555e-30	1732	210.374329	3.4929654181242022e-62	No_custom_HMM	No_custom_HMM	No_custom_HMM	1732	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0066	31750	31887	+	LN610572.1	-4.340458	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0067	31836	32108	+	LN610572.1	-43.39244	31120	195.0	1.0	4.659e-60	31120	217.761017	2.707719735771545e-65	No_custom_HMM	No_custom_HMM	No_custom_HMM	31120	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
