contig	Accession	mash_distance	mash_pval	mash_matching_hashes	Description	Classification	Genome_Length_(bp)	Jumbophage	molGC_(%)	Molecule	Modification_Date	Number_CDS	Positive_Strand_(%)	Negative_Strand_(%)	Coding_Capacity_(%)	Low_Coding_Capacity_Warning	tRNAs	Host	Lowest_Taxa	Genus	Sub-family	Family	Order	Class	Phylum	Kingdom	Realm	Baltimore_Group	Genbank_Division	Isolation_Host_(beware_inconsistent_and_nonsense_values)
LN610582.1	LN610582	0.0	0.0	1000/1000	Pseudomonas phage vB_PaeM_PAO1_Ab06	Pseudomonas phage vB_PaeM_PAO1_Ab06 Nankokuvirus Ab03 Nankokuvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	84759	False	54.598	DNA	25-JUN-2016	150	86.0	14.0	90.405738623627		3	Pseudomonas	Nankokuvirus	Nankokuvirus	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas aeruginosa
LN610583.1	LN610583	0.0	0.0	1000/1000	Pseudomonas phage vB_PaeM_PAO1_Ab11	Pseudomonas phage vB_PaeM_PAO1_Ab11 Nankokuvirus Ab03 Nankokuvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	85783	False	54.525	DNA	02-JUL-2015	151	86.0927152317881	13.9072847682119	90.2603079864309		3	Pseudomonas	Nankokuvirus	Nankokuvirus	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas aeruginosa
LN610584.1	NC_042115	0.0	0.0	1000/1000	Pseudomonas phage vB_PaeS_PAO1_Ab19	Pseudomonas phage vB_PaeS_PAO1_Ab19 Pseudomonas virus Ab19 Abidjanvirus Bradleyvirinae Mesyanzhinovviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	58139	False	63.303	DNA	08-JAN-2023	81	100.0	0.0	93.3555788713256		0	Pseudomonas	Abidjanvirus	Abidjanvirus	Bradleyvirinae	Mesyanzhinovviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas aeruginosa
LN610585.1	LN610585	0.0	0.0	1000/1000	Pseudomonas phage vB_PaeS_PAO1_Ab20	Pseudomonas phage vB_PaeS_PAO1_Ab20 Pseudomonas virus Ab18 Abidjanvirus Bradleyvirinae Mesyanzhinovviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	57745	False	63.476	DNA	02-JUL-2015	79	100.0	0.0	92.9690882327474		0	Pseudomonas	Abidjanvirus	Abidjanvirus	Bradleyvirinae	Mesyanzhinovviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas aeruginosa
LN610586.1	LN610586	0.0	0.0	1000/1000	Pseudomonas phage vB_PaeM_C2-10_Ab10	Pseudomonas phage vB_PaeM_C2-10_Ab10 Pakpunavirus CAb1 Pakpunavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	93053	False	49.252	DNA	02-JUL-2015	171	69.0058479532164	30.9941520467836	90.5032615821091		14	Pseudomonas	Pakpunavirus	Pakpunavirus	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas aeruginosa
LN610587.1	LN610587	0.0	0.0	1000/1000	Pseudomonas phage vB_PaeM_C2-10_Ab15	Pseudomonas phage vB_PaeM_C2-10_Ab15 Pakpunavirus CAb1 Pakpunavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	93308	False	49.346	DNA	02-JUL-2015	172	69.1860465116279	30.8139534883721	90.54636258413		15	Pseudomonas	Pakpunavirus	Pakpunavirus	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas aeruginosa
LN610588.1	LN610588	0.0	0.0	1000/1000	Pseudomonas phage vB_PaeM_PAO1_Ab29	Pseudomonas phage vB_PaeM_PAO1_Ab29 Pbunavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	66326	False	55.64	DNA	02-JUL-2015	94	41.4893617021277	58.5106382978723	92.2217531586407		0	Pseudomonas	Pbunavirus	Pbunavirus	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas aeruginosa
LN610589.1	NC_026600	0.0	0.0	1000/1000	Pseudomonas phage vB_PaeM_C1-14_Ab28	Pseudomonas phage vB_PaeM_C1-14_Ab28 Pbunavirus Ab28 Pbunavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	66181	False	54.902	DNA	08-JAN-2023	92	41.304347826087	58.695652173913	91.8843776914825		0	Pseudomonas	Pbunavirus	Pbunavirus	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas aeruginosa
LN610590.1	NC_026601	0.0	0.0	1000/1000	Pseudomonas phage vB_PaeS_PAO1_Ab30	Pseudomonas phage vB_PaeS_PAO1_Ab30 Casadabanvirus Ab30 Casadabanvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	37238	False	64.08	DNA	08-JAN-2023	56	96.4285714285714	3.57142857142857	95.9664858477899		0	Pseudomonas	Casadabanvirus	Casadabanvirus	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas aeruginosa
OM870967.1	NC_073621	0.0	0.0	1000/1000	Pseudomonas phage vB_Paer_Ps12	Pseudomonas phage vB_Paer_Ps12 Pakpunavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	88705	False	49.139	DNA	21-APR-2023	160	68.125	31.875	90.3996392537061		14	Pseudomonas	Pakpunavirus	Pakpunavirus	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas aeruginosa
OM870968.1	OM870968	0.0	0.0	1000/1000	Pseudomonas phage vB_Paer_Ps25	Pseudomonas phage vB_Paer_Ps25 Pakpunavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	87887	False	49.126	DNA	11-APR-2023	158	67.7215189873418	32.2784810126582	90.6061192212728		14	Pseudomonas	Pakpunavirus	Pakpunavirus	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas aeruginosa
OM870969.1	NC_073623	0.0	0.0	1000/1000	Pseudomonas phage vB_Paer_PsCh	Pseudomonas phage vB_Paer_PsCh Pakpunavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	92710	False	49.304	DNA	21-APR-2023	171	69.5906432748538	30.4093567251462	90.8995793334052		14	Pseudomonas	Pakpunavirus	Pakpunavirus	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas aeruginosa
OM870970.1	NC_073622	0.0	0.0	1000/1000	Pseudomonas phage vB_Paer_PsIn	Pseudomonas phage vB_Paer_PsIn Pakpunavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	92515	False	49.28	DNA	21-APR-2023	169	69.2307692307692	30.7692307692308	91.0317245852024		14	Pseudomonas	Pakpunavirus	Pakpunavirus	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas aeruginosa
OQ134474.1	OQ134474	0.0	0.0	1000/1000	Pseudomonas phage vB_PaeP_PS28	Pseudomonas phage vB_PaeP_PS28 Schitoviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	72283	False	54.753	DNA	30-JUN-2023	94	24.468085106383	75.531914893617	94.9393356667543		0	Pseudomonas	Schitoviridae	Unclassified	Unclassified	Schitoviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas aeruginosa
OQ411628.1	OQ411628	0.0	0.0	1000/1000	Pseudomonas phage vB_PaeM_PS3	Pseudomonas phage vB_PaeM_PS3 Pakpunavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	93922	False	49.39	DNA	19-APR-2024	171	70.7602339181287	29.2397660818713	89.3124081684802		14	Pseudomonas	Pakpunavirus	Pakpunavirus	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas aeruginosa
PP456877.1	PP456877	0.0	0.0	1000/1000	Pseudomonas phage vB_Pae3705-KEN49	Pseudomonas phage vB_Pae3705-KEN49 Phikzvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	280231	True	36.839	DNA	09-AUG-2024	364	17.032967032967	82.967032967033	91.4955875688271		7	Pseudomonas	Phikzvirus	Phikzvirus	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Unspecified
PP456878.1	PP456878	0.0	0.0	1000/1000	Pseudomonas phage vB_PaePAO1-KEN19	Pseudomonas phage vB_PaePAO1-KEN19 Phikzvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	278921	True	36.929	DNA	09-AUG-2024	365	16.986301369863	83.013698630137	91.7338601252684		7	Pseudomonas	Phikzvirus	Phikzvirus	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Unspecified
PP456879.1	PP456879	0.0	0.0	1000/1000	Pseudomonas phage vB_Pae10145-KEN51	Pseudomonas phage vB_Pae10145-KEN51 Phikzvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	280173	True	36.858	DNA	09-AUG-2024	366	16.9398907103825	83.0601092896175	91.9321276497021		7	Pseudomonas	Phikzvirus	Phikzvirus	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Unspecified
PP968062.1	PP968062	0.0	0.0	1000/1000	Pseudomonas phage HPP-Temi	Pseudomonas phage HPP-Temi Pawinskivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	302719	True	46.455	DNA	18-JUL-2024	390	17.9487179487179	82.051282051282	92.5511778249796		8	Pseudomonas	Pawinskivirus	Pawinskivirus	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas aeruginosa
