Description	Count	contig
CRISPRs	0	LN610582.1
tmRNAs	0	LN610582.1
VFDB_Virulence_Factors	0	LN610582.1
CARD_AMR_Genes	0	LN610582.1
CDS	172	LN610583.1
connector	0	LN610583.1
DNA, RNA and nucleotide metabolism	14	LN610583.1
head and packaging	11	LN610583.1
integration and excision	0	LN610583.1
lysis	3	LN610583.1
moron, auxiliary metabolic gene and host takeover	1	LN610583.1
other	3	LN610583.1
tail	10	LN610583.1
transcription regulation	0	LN610583.1
unknown function	130	LN610583.1
tRNAs	3	LN610583.1
CRISPRs	0	LN610583.1
tmRNAs	0	LN610583.1
VFDB_Virulence_Factors	0	LN610583.1
CARD_AMR_Genes	0	LN610583.1
CDS	90	LN610584.1
connector	4	LN610584.1
DNA, RNA and nucleotide metabolism	12	LN610584.1
head and packaging	11	LN610584.1
integration and excision	0	LN610584.1
lysis	2	LN610584.1
moron, auxiliary metabolic gene and host takeover	0	LN610584.1
other	4	LN610584.1
tail	9	LN610584.1
transcription regulation	1	LN610584.1
unknown function	47	LN610584.1
tRNAs	0	LN610584.1
CRISPRs	0	LN610584.1
tmRNAs	0	LN610584.1
VFDB_Virulence_Factors	0	LN610584.1
CARD_AMR_Genes	0	LN610584.1
CDS	89	LN610585.1
connector	4	LN610585.1
DNA, RNA and nucleotide metabolism	12	LN610585.1
head and packaging	10	LN610585.1
integration and excision	0	LN610585.1
lysis	2	LN610585.1
moron, auxiliary metabolic gene and host takeover	0	LN610585.1
other	4	LN610585.1
tail	9	LN610585.1
transcription regulation	1	LN610585.1
unknown function	47	LN610585.1
tRNAs	0	LN610585.1
CRISPRs	0	LN610585.1
tmRNAs	0	LN610585.1
VFDB_Virulence_Factors	0	LN610585.1
CARD_AMR_Genes	0	LN610585.1
CDS	196	LN610586.1
connector	0	LN610586.1
DNA, RNA and nucleotide metabolism	15	LN610586.1
head and packaging	11	LN610586.1
integration and excision	0	LN610586.1
lysis	4	LN610586.1
moron, auxiliary metabolic gene and host takeover	1	LN610586.1
other	10	LN610586.1
tail	11	LN610586.1
transcription regulation	0	LN610586.1
unknown function	144	LN610586.1
tRNAs	16	LN610586.1
CRISPRs	0	LN610586.1
tmRNAs	0	LN610586.1
VFDB_Virulence_Factors	0	LN610586.1
CARD_AMR_Genes	0	LN610586.1
CDS	198	LN610587.1
connector	0	LN610587.1
DNA, RNA and nucleotide metabolism	15	LN610587.1
head and packaging	11	LN610587.1
integration and excision	0	LN610587.1
lysis	4	LN610587.1
moron, auxiliary metabolic gene and host takeover	1	LN610587.1
other	10	LN610587.1
tail	11	LN610587.1
transcription regulation	0	LN610587.1
unknown function	146	LN610587.1
tRNAs	14	LN610587.1
CRISPRs	0	LN610587.1
tmRNAs	0	LN610587.1
VFDB_Virulence_Factors	0	LN610587.1
CARD_AMR_Genes	0	LN610587.1
CDS	99	LN610588.1
connector	1	LN610588.1
DNA, RNA and nucleotide metabolism	7	LN610588.1
head and packaging	6	LN610588.1
integration and excision	0	LN610588.1
lysis	1	LN610588.1
moron, auxiliary metabolic gene and host takeover	0	LN610588.1
other	1	LN610588.1
tail	14	LN610588.1
transcription regulation	0	LN610588.1
unknown function	69	LN610588.1
tRNAs	0	LN610588.1
CRISPRs	0	LN610588.1
tmRNAs	0	LN610588.1
VFDB_Virulence_Factors	0	LN610588.1
CARD_AMR_Genes	0	LN610588.1
CDS	104	LN610589.1
connector	1	LN610589.1
DNA, RNA and nucleotide metabolism	9	LN610589.1
head and packaging	5	LN610589.1
integration and excision	0	LN610589.1
lysis	1	LN610589.1
moron, auxiliary metabolic gene and host takeover	0	LN610589.1
other	2	LN610589.1
tail	14	LN610589.1
transcription regulation	0	LN610589.1
unknown function	72	LN610589.1
tRNAs	0	LN610589.1
CRISPRs	0	LN610589.1
tmRNAs	0	LN610589.1
VFDB_Virulence_Factors	0	LN610589.1
CARD_AMR_Genes	0	LN610589.1
CDS	60	LN610590.1
connector	2	LN610590.1
DNA, RNA and nucleotide metabolism	1	LN610590.1
head and packaging	9	LN610590.1
integration and excision	2	LN610590.1
lysis	1	LN610590.1
moron, auxiliary metabolic gene and host takeover	2	LN610590.1
other	0	LN610590.1
tail	8	LN610590.1
transcription regulation	5	LN610590.1
unknown function	30	LN610590.1
tRNAs	0	LN610590.1
CRISPRs	0	LN610590.1
tmRNAs	0	LN610590.1
VFDB_Virulence_Factors	0	LN610590.1
CARD_AMR_Genes	0	LN610590.1
CDS	186	OM870967.1
connector	0	OM870967.1
DNA, RNA and nucleotide metabolism	17	OM870967.1
head and packaging	11	OM870967.1
integration and excision	0	OM870967.1
lysis	4	OM870967.1
moron, auxiliary metabolic gene and host takeover	1	OM870967.1
other	10	OM870967.1
tail	11	OM870967.1
transcription regulation	0	OM870967.1
unknown function	132	OM870967.1
tRNAs	16	OM870967.1
CRISPRs	0	OM870967.1
tmRNAs	0	OM870967.1
VFDB_Virulence_Factors	0	OM870967.1
CARD_AMR_Genes	0	OM870967.1
CDS	185	OM870968.1
connector	0	OM870968.1
DNA, RNA and nucleotide metabolism	17	OM870968.1
head and packaging	11	OM870968.1
integration and excision	0	OM870968.1
lysis	4	OM870968.1
moron, auxiliary metabolic gene and host takeover	1	OM870968.1
other	10	OM870968.1
tail	11	OM870968.1
transcription regulation	0	OM870968.1
unknown function	131	OM870968.1
tRNAs	16	OM870968.1
CRISPRs	0	OM870968.1
tmRNAs	0	OM870968.1
VFDB_Virulence_Factors	0	OM870968.1
CARD_AMR_Genes	0	OM870968.1
CDS	195	OM870969.1
connector	0	OM870969.1
DNA, RNA and nucleotide metabolism	15	OM870969.1
head and packaging	11	OM870969.1
integration and excision	0	OM870969.1
lysis	4	OM870969.1
moron, auxiliary metabolic gene and host takeover	1	OM870969.1
other	10	OM870969.1
tail	11	OM870969.1
transcription regulation	0	OM870969.1
unknown function	143	OM870969.1
tRNAs	16	OM870969.1
CRISPRs	0	OM870969.1
tmRNAs	0	OM870969.1
VFDB_Virulence_Factors	0	OM870969.1
CARD_AMR_Genes	0	OM870969.1
CDS	195	OM870970.1
connector	0	OM870970.1
DNA, RNA and nucleotide metabolism	16	OM870970.1
head and packaging	11	OM870970.1
integration and excision	0	OM870970.1
lysis	4	OM870970.1
moron, auxiliary metabolic gene and host takeover	1	OM870970.1
other	10	OM870970.1
tail	11	OM870970.1
transcription regulation	0	OM870970.1
unknown function	142	OM870970.1
tRNAs	16	OM870970.1
CRISPRs	0	OM870970.1
tmRNAs	0	OM870970.1
VFDB_Virulence_Factors	0	OM870970.1
CARD_AMR_Genes	0	OM870970.1
CDS	102	OQ134474.1
connector	0	OQ134474.1
DNA, RNA and nucleotide metabolism	12	OQ134474.1
head and packaging	5	OQ134474.1
integration and excision	0	OQ134474.1
lysis	4	OQ134474.1
moron, auxiliary metabolic gene and host takeover	1	OQ134474.1
other	2	OQ134474.1
tail	3	OQ134474.1
transcription regulation	0	OQ134474.1
unknown function	75	OQ134474.1
tRNAs	0	OQ134474.1
CRISPRs	0	OQ134474.1
tmRNAs	0	OQ134474.1
VFDB_Virulence_Factors	0	OQ134474.1
CARD_AMR_Genes	0	OQ134474.1
CDS	203	OQ411628.1
connector	0	OQ411628.1
DNA, RNA and nucleotide metabolism	18	OQ411628.1
head and packaging	11	OQ411628.1
integration and excision	0	OQ411628.1
lysis	4	OQ411628.1
moron, auxiliary metabolic gene and host takeover	1	OQ411628.1
other	10	OQ411628.1
tail	11	OQ411628.1
transcription regulation	0	OQ411628.1
unknown function	148	OQ411628.1
tRNAs	14	OQ411628.1
CRISPRs	0	OQ411628.1
tmRNAs	0	OQ411628.1
VFDB_Virulence_Factors	0	OQ411628.1
CARD_AMR_Genes	0	OQ411628.1
CDS	417	PP456877.1
connector	0	PP456877.1
DNA, RNA and nucleotide metabolism	32	PP456877.1
head and packaging	39	PP456877.1
integration and excision	0	PP456877.1
lysis	2	PP456877.1
moron, auxiliary metabolic gene and host takeover	2	PP456877.1
other	4	PP456877.1
tail	7	PP456877.1
transcription regulation	0	PP456877.1
unknown function	331	PP456877.1
tRNAs	7	PP456877.1
CRISPRs	0	PP456877.1
tmRNAs	0	PP456877.1
VFDB_Virulence_Factors	0	PP456877.1
CARD_AMR_Genes	0	PP456877.1
CDS	419	PP456878.1
connector	0	PP456878.1
DNA, RNA and nucleotide metabolism	32	PP456878.1
head and packaging	39	PP456878.1
integration and excision	0	PP456878.1
lysis	2	PP456878.1
moron, auxiliary metabolic gene and host takeover	2	PP456878.1
other	4	PP456878.1
tail	7	PP456878.1
transcription regulation	0	PP456878.1
unknown function	333	PP456878.1
tRNAs	7	PP456878.1
CRISPRs	0	PP456878.1
tmRNAs	0	PP456878.1
VFDB_Virulence_Factors	0	PP456878.1
CARD_AMR_Genes	0	PP456878.1
CDS	417	PP456879.1
connector	0	PP456879.1
DNA, RNA and nucleotide metabolism	35	PP456879.1
head and packaging	39	PP456879.1
integration and excision	0	PP456879.1
lysis	2	PP456879.1
moron, auxiliary metabolic gene and host takeover	2	PP456879.1
other	4	PP456879.1
tail	7	PP456879.1
transcription regulation	0	PP456879.1
unknown function	328	PP456879.1
tRNAs	7	PP456879.1
CRISPRs	0	PP456879.1
tmRNAs	0	PP456879.1
VFDB_Virulence_Factors	0	PP456879.1
CARD_AMR_Genes	0	PP456879.1
CDS	436	PP968062.1
connector	0	PP968062.1
DNA, RNA and nucleotide metabolism	36	PP968062.1
head and packaging	39	PP968062.1
integration and excision	0	PP968062.1
lysis	2	PP968062.1
moron, auxiliary metabolic gene and host takeover	3	PP968062.1
other	9	PP968062.1
tail	9	PP968062.1
transcription regulation	0	PP968062.1
unknown function	338	PP968062.1
tRNAs	7	PP968062.1
CRISPRs	0	PP968062.1
tmRNAs	0	PP968062.1
VFDB_Virulence_Factors	0	PP968062.1
CARD_AMR_Genes	0	PP968062.1
